date,open,high,low,close,volume,short_ma,long_ma,position,signal
2017-06-16,154.23,155.42,152.9676,155.38,6128190.0,154.568,153.48,1,0
2017-06-19,155.51,155.86,154.54,154.84,4381436.0,154.5,153.72299999999998,1,0
2017-06-20,154.48,155.389,154.25,154.95,4469538.0,154.64,153.981,1,0
2017-06-21,155.79,155.79,153.39,153.79,3934281.0,154.63600000000002,154.262,1,0
2017-06-22,154.55,154.99,153.69,154.4,2361275.0,154.672,154.49200000000002,1,0
2017-06-23,154.34,154.68,153.8,154.11,3148468.0,154.418,154.493,0,-1
2017-06-26,154.71,155.75,154.63,155.23,2129945.0,154.496,154.498,0,0
2017-06-27,155.0,155.34,154.5,154.75,2385619.0,154.456,154.548,0,0
2017-06-28,155.15,155.55,154.78,155.32,2203062.0,154.762,154.69899999999998,1,1
2017-06-29,155.35,155.74,153.62,154.13,3245649.0,154.708,154.69,1,0
2017-06-30,154.28,154.5,153.14,153.83,3501395.0,154.652,154.535,1,0
2017-07-03,153.58,156.025,153.52,155.58,2822499.0,154.72199999999998,154.609,1,0
2017-07-05,155.77,155.89,153.63,153.67,3558639.0,154.506,154.481,1,0
2017-07-06,153.36,153.83,152.23,152.36,2735717.0,153.91400000000002,154.33800000000002,0,-1
2017-07-07,152.62,153.49,152.14,152.94,2345721.0,153.676,154.192,0,0
2017-07-10,152.91,153.89,152.63,153.42,2804780.0,153.594,154.123,0,0
2017-07-11,153.26,153.65,152.05,153.19,3431418.0,153.116,153.919,0,0
2017-07-12,153.48,154.24,153.05,153.7,3090315.0,153.12199999999999,153.81400000000002,0,0
2017-07-13,153.7,154.19,153.19,153.63,2474847.0,153.37599999999998,153.645,0,0
2017-07-14,154.01,154.615,153.4,154.24,3214337.0,153.63600000000002,153.656,0,0
2017-07-17,153.59,153.88,152.2399,153.01,4751141.0,153.554,153.574,0,0
2017-07-18,152.36,154.29,152.0,154.0,6867302.0,153.71599999999998,153.416,1,1
2017-07-19,150.02,150.25,146.71,147.53,14043000.0,152.482,152.802,0,-1
2017-07-20,147.53,148.83,147.03,147.66,7105481.0,151.28799999999998,152.332,0,0
2017-07-21,147.59,147.87,146.51,147.08,6456514.0,149.85600000000002,151.74599999999998,0,0
2017-07-24,147.0,147.04,145.8,145.99,3818232.0,148.452,151.003,0,0
2017-07-25,146.57,147.49,146.03,146.19,4184435.0,146.89,150.303,0,0
2017-07-26,146.27,146.46,144.47,145.36,3806651.0,146.456,149.469,0,0
2017-07-27,145.0,145.395,143.64,145.07,6374650.0,145.93800000000002,148.613,0,0
2017-07-28,144.81,145.04,143.84,144.29,3022662.0,145.38,147.618,0,0
2017-07-31,144.38,144.93,144.17,144.67,4333680.0,145.11599999999999,146.78400000000002,0,0
2017-08-01,145.0,145.67,144.72,145.3,3197848.0,144.93800000000002,145.91400000000002,0,0
2017-08-02,145.12,145.29,144.22,144.45,3400024.0,144.756,145.60600000000002,0,0
2017-08-03,144.43,145.34,144.43,144.94,3028769.0,144.73,145.334,0,0
2017-08-04,145.0,145.39,144.4,145.16,2542800.0,144.904,145.142,0,0
2017-08-07,145.0,145.09,142.75,143.47,4576508.0,144.66400000000002,144.89000000000001,0,0
2017-08-08,142.0,142.76,142.0,142.11,3281972.0,144.026,144.482,0,0
2017-08-09,141.75,142.03,141.19,141.77,2920582.0,143.49,144.123,0,0
2017-08-10,141.64,142.42,141.23,141.84,4378186.0,142.87,143.8,0,0
2017-08-11,142.45,142.59,141.52,141.84,3004040.0,142.206,143.555,0,0
2017-08-14,142.0,142.76,141.94,142.32,2222304.0,141.976,143.32,0,0
2017-08-15,142.55,143.34,140.58,142.07,4652618.0,141.968,142.997,0,0
2017-08-16,141.79,142.91,141.61,142.5,3239516.0,142.11399999999998,142.802,0,0
